Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Date
1,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,30-Dec-22
2,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,29-Dec-22
3,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,28-Dec-22
4,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,23-Dec-22
5,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,22-Dec-22
6,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,21-Dec-22
7,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,20-Dec-22
8,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,19-Dec-22
9,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,17-Dec-22
10,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,15-Dec-22
11,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,14-Dec-22
12,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,1500,1500,1500,13-Dec-22
13,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,09-Dec-22
14,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,07-Dec-22
15,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,06-Dec-22
16,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,05-Dec-22
17,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2500,2500,2500,03-Dec-22
18,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,02-Dec-22
19,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,01-Dec-22
20,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,29-Nov-22
21,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,28-Nov-22
22,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,26-Nov-22
23,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,24-Nov-22
24,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,23-Nov-22
25,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,22-Nov-22
26,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,21-Nov-22
27,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,19-Nov-22
28,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,18-Nov-22
29,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,16-Nov-22
30,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2000,2000,15-Nov-22
31,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2000,2500,2000,14-Nov-22
32,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2500,3000,2500,13-Nov-22
33,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2500,3000,2500,12-Nov-22
34,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2500,3000,2500,11-Nov-22
35,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,2500,3000,2500,10-Nov-22
36,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,09-Nov-22
37,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,08-Nov-22
38,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,07-Nov-22
39,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,05-Nov-22
40,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,04-Nov-22
41,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,03-Nov-22
42,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,02-Nov-22
43,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,01-Nov-22
44,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,31-Oct-22
45,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,3000,3000,3000,29-Oct-22
46,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,4000,4000,4000,28-Oct-22
47,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,4000,4000,4000,27-Oct-22
48,Adilabad,Adilabad(Rythu Bazar),Tomato,Deshi,FAQ,5000,0,5000,17-Oct-22
49,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5000,5000,14-Oct-22
50,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,4000,4000,4000,13-Oct-22
